Date,Time,Enter/Exit,Current Price,Sent Price,Symbol,Quantity,Action,Direction,Slip from TV
2025-01-28,10:13:57,entry,21452.0,21452.0,NQ1!,1,sell,short,0.0
2025-01-28,10:15:18,exit,21456.0,21456.0,NQ1!,1,buy,flat,0.0
2025-01-28,10:24:13,entry,21428.0,21428.0,NQ1!,1,sell,short,0.0
2025-01-28,10:25:10,exit,21412.0,21412.0,NQ1!,1,buy,flat,0.0
2025-01-28,10:28:29,entry,21408.0,21408.0,NQ1!,1,sell,short,0.0
2025-01-28,10:29:28,exit,21400.0,21400.0,NQ1!,1,buy,flat,0.0
2025-01-28,10:37:09,entry,21416.0,21416.0,NQ1!,1,buy,long,0.0
2025-01-28,10:38:05,exit,21416.0,21416.0,NQ1!,1,sell,flat,0.0
2025-01-28,10:41:09,entry,21416.0,21416.0,NQ1!,1,sell,short,0.0
2025-01-28,10:43:05,exit,21404.0,21404.0,NQ1!,1,buy,flat,0.0
2025-01-28,10:44:45,entry,21420.0,21420.0,NQ1!,1,buy,long,0.0
2025-01-28,10:46:09,exit,21420.0,21420.0,NQ1!,1,sell,flat,0.0
2025-01-28,10:51:24,entry,21420.0,21420.0,NQ1!,1,sell,short,0.0
2025-01-28,10:51:58,exit,21412.0,21412.0,NQ1!,1,buy,flat,0.0
2025-01-28,10:53:03,entry,21432.0,21432.0,NQ1!,1,buy,long,0.0
2025-01-28,10:54:40,exit,21444.0,21444.0,NQ1!,1,sell,flat,0.0
2025-01-28,11:55:19,entry,21552.0,21552.0,NQ1!,1,buy,long,0.0
2025-01-28,11:56:10,exit,21544.0,21544.0,NQ1!,1,sell,flat,0.0
2025-01-28,12:04:27,entry,21556.0,21556.0,NQ1!,1,buy,long,0.0
2025-01-28,12:06:08,exit,21560.0,21560.0,NQ1!,1,sell,flat,0.0
2025-01-28,12:24:37,entry,21564.0,21564.0,NQ1!,1,sell,short,0.0
2025-01-28,12:27:52,exit,21556.0,21556.0,NQ1!,1,buy,flat,0.0
2025-01-28,12:46:55,exit,21532.0,21532.0,NQ1!,1,buy,flat,0.0
2025-01-28,12:46:55,entry,21532.0,21532.0,NQ1!,1,sell,short,0.0
2025-01-28,13:06:15,entry,21532.0,21532.0,NQ1!,1,sell,short,0.0
2025-01-28,13:09:37,exit,21520.0,21520.0,NQ1!,1,buy,flat,0.0
2025-01-28,13:18:08,entry,21544.0,21544.0,NQ1!,1,buy,long,0.0
2025-01-28,13:25:53,exit,21556.0,21556.0,NQ1!,1,sell,flat,0.0
2025-01-29,02:00:25,entry,21676.0,21676.0,NQ1!,1,buy,long,0.0
2025-01-29,02:02:38,exit,21676.0,21676.0,NQ1!,1,sell,flat,0.0
2025-01-29,02:15:39,entry,21664.0,21664.0,NQ1!,1,sell,short,0.0
2025-01-29,02:16:15,exit,21676.0,21676.0,NQ1!,1,buy,flat,0.0
2025-01-29,02:33:49,entry,21692.0,21692.0,NQ1!,1,buy,long,0.0
2025-01-29,02:35:30,exit,21684.0,21684.0,NQ1!,1,sell,flat,0.0
2025-01-29,02:38:02,entry,21668.0,21668.0,NQ1!,1,sell,short,0.0
2025-01-29,02:40:03,exit,21676.0,21676.0,NQ1!,1,buy,flat,0.0
2025-01-29,03:34:11,entry,21648.0,21648.0,NQ1!,1,sell,short,0.0
2025-01-29,03:41:12,exit,21652.0,21652.0,NQ1!,1,buy,flat,0.0
