Date,Time,Enter/Exit,Current Price,Sent Price,Symbol,Quantity,Action,Direction,Slip from TV
2025-01-24,11:57:24,entry,6140.0,6140.0,ES1!,2,sell,short,0.0
2025-01-24,11:57:27,exit,6143.0,6143.0,ES1!,2,buy,flat,0.0
2025-01-24,12:11:20,entry,6138.0,6138.0,ES1!,2,sell,short,0.0
2025-01-24,12:33:04,exit,6139.0,6139.0,ES1!,2,buy,flat,0.0
2025-01-24,12:55:58,entry,6134.0,6134.0,ES1!,2,sell,short,0.0
2025-01-27,08:33:45,entry,6027.0,6027.0,ES1!,2,buy,long,0.0
2025-01-27,08:34:39,exit,6026.0,6026.0,ES1!,2,sell,flat,0.0
2025-01-27,08:38:23,entry,6029.0,6029.0,ES1!,2,buy,long,0.0
2025-01-27,08:41:51,exit,6028.0,6028.0,ES1!,2,sell,flat,0.0
2025-01-27,08:45:36,entry,6030.0,6030.0,ES1!,2,buy,long,0.0
2025-01-27,08:46:25,exit,6030.0,6030.0,ES1!,2,sell,flat,0.0
2025-01-27,08:52:58,entry,6033.0,6033.0,ES1!,2,buy,long,0.0
2025-01-27,09:03:40,exit,6029.0,6029.0,ES1!,2,sell,flat,0.0
2025-01-27,09:06:58,entry,6025.0,6025.0,ES1!,2,sell,short,0.0
2025-01-27,09:07:29,exit,6029.0,6029.0,ES1!,2,buy,flat,0.0
2025-01-27,09:16:14,entry,6026.0,6026.0,ES1!,2,sell,short,0.0
2025-01-27,09:23:38,exit,6030.0,6030.0,ES1!,2,buy,flat,0.0
2025-01-27,09:26:28,entry,6035.0,6035.0,ES1!,2,buy,long,0.0
2025-01-27,09:26:57,exit,6031.0,6031.0,ES1!,2,sell,flat,0.0
2025-01-27,09:28:06,entry,6035.0,6035.0,ES1!,2,buy,long,0.0
2025-01-27,09:59:36,exit,6032.0,6032.0,ES1!,2,sell,flat,0.0
2025-01-27,10:01:08,entry,6030.0,6030.0,ES1!,2,sell,short,0.0
2025-01-27,10:01:11,exit,6033.0,6033.0,ES1!,2,buy,flat,0.0
2025-01-27,10:03:33,entry,6028.0,6028.0,ES1!,2,sell,short,0.0
2025-01-27,11:34:04,exit,6029.0,6029.0,ES1!,2,buy,flat,0.0
2025-01-27,12:11:55,entry,6014.0,6014.0,ES1!,2,buy,long,0.0
2025-01-27,13:25:21,entry,6033.0,6033.0,ES1!,2,buy,long,0.0
2025-01-27,13:25:22,exit,6033.0,6033.0,ES1!,2,sell,flat,0.0
2025-01-27,13:43:58,exit,6029.0,6029.0,ES1!,2,sell,flat,0.0
2025-01-27,14:01:56,entry,6026.0,6026.0,ES1!,2,buy,long,0.0
2025-01-27,14:05:05,exit,6023.0,6023.0,ES1!,2,sell,flat,0.0
2025-01-27,14:13:11,entry,6028.0,6028.0,ES1!,2,buy,long,0.0
2025-01-27,14:13:33,exit,6024.0,6024.0,ES1!,2,sell,flat,0.0
