symbol,_tickSize,qty,buyPrice,sellPrice,boughtTimestamp,soldTimestamp,duration,pnl,tradeNumber,cummulative
NQH5,0.25,1,21404,21416,1/28/2025 10:43,1/28/2025 10:41,-116sec,$240.00 ,41,"$4,720.00 "
NQH5,0.25,1,21420,21420,1/28/2025 10:44,1/28/2025 10:46,1min 24sec,$0.00 ,42,"$4,720.00 "
NQH5,0.25,1,21412,21420,1/28/2025 10:51,1/28/2025 10:51,-34sec,$160.00 ,43,"$4,880.00 "
NQH5,0.25,1,21432,21444,1/28/2025 10:53,1/28/2025 10:54,1min 37sec,$240.00 ,44,"$5,120.00 "
NQH5,0.25,1,21552,21544,1/28/2025 11:55,1/28/2025 11:56,51sec,($160.00),45,"$4,960.00 "
NQH5,0.25,1,21556,21560,1/28/2025 12:04,1/28/2025 12:06,1min 41sec,$80.00 ,46,"$5,040.00 "
NQH5,0.25,1,21556,21564,1/28/2025 12:27,1/28/2025 12:24,-195sec,$160.00 ,47,"$5,200.00 "
NQH5,0.25,1,21520,21532,1/28/2025 13:09,1/28/2025 13:06,-202sec,$240.00 ,48,"$5,440.00 "
NQH5,0.25,1,21544,21556,1/28/2025 13:18,1/28/2025 13:25,7min 45sec,$240.00 ,49,"$5,680.00 "
NQH5,0.25,1,21676,21676,1/29/2025 2:00,1/29/2025 2:02,2min 13sec,$0.00 ,50,"$5,680.00 "
NQH5,0.25,1,21676,21664,1/29/2025 2:16,1/29/2025 2:15,-36sec,($240.00),51,"$5,440.00 "
NQH5,0.25,1,21692,21684,1/29/2025 2:33,1/29/2025 2:35,1min 41sec,($160.00),52,"$5,280.00 "
NQH5,0.25,1,21676,21668,1/29/2025 2:40,1/29/2025 2:38,-121sec,($160.00),53,"$5,120.00 "
NQH5,0.25,1,21652,21648,1/29/2025 3:41,1/29/2025 3:34,-421sec,($80.00),54,"$5,040.00 "
NQH5,0.25,1,21664,21672,1/29/2025 3:48,1/29/2025 3:52,4min 0sec,$160.00 ,55,"$5,200.00 "
NQH5,0.25,1,21672,21672,1/29/2025 4:37,1/29/2025 4:47,9min 36sec,$0.00 ,56,"$5,200.00 "
NQH5,0.25,1,21672,21680,1/29/2025 5:49,1/29/2025 6:00,10min 44sec,$160.00 ,57,"$5,360.00 "
NQH5,0.25,1,21668,21672,1/29/2025 6:11,1/29/2025 6:05,-381sec,$80.00 ,58,"$5,440.00 "
NQH5,0.25,1,21588,21588,1/29/2025 7:19,1/29/2025 7:19,0sec,$0.00 ,59,"$5,440.00 "
NQH5,0.25,1,21584,21572,1/29/2025 7:23,1/29/2025 7:22,-30sec,($240.00),60,"$5,200.00 "
NQH5,0.25,1,21580,21576,1/29/2025 7:36,1/29/2025 7:33,-161sec,($80.00),61,"$5,120.00 "
NQH5,0.25,1,21580,21572,1/29/2025 7:49,1/29/2025 7:47,-119sec,($160.00),62,"$4,960.00 "
NQH5,0.25,1,21592,21612,1/29/2025 7:58,1/29/2025 8:04,5min 52sec,$400.00 ,63,"$5,360.00 "
NQH5,0.25,1,21612,21604,1/29/2025 8:15,1/29/2025 8:11,-240sec,($160.00),64,"$5,200.00 "
NQH5,0.25,1,21620,21612,1/29/2025 8:25,1/29/2025 8:19,-308sec,($160.00),65,"$5,040.00 "
NQH5,0.25,1,21616,21612,1/29/2025 8:28,1/29/2025 8:28,1sec,($80.00),66,"$4,960.00 "
NQH5,0.25,1,21548,21536,1/29/2025 8:35,1/29/2025 8:34,-19sec,($240.00),67,"$4,720.00 "
NQH5,0.25,1,21560,21552,1/29/2025 8:35,1/29/2025 8:36,41sec,($160.00),68,"$4,560.00 "
NQH5,0.25,1,21540,21536,1/29/2025 8:38,1/29/2025 8:37,-22sec,($80.00),69,"$4,480.00 "
NQH5,0.25,1,21528,21516,1/29/2025 8:44,1/29/2025 8:44,9sec,($240.00),70,"$4,240.00 "
NQH5,0.25,1,21512,21500,1/29/2025 8:45,1/29/2025 8:45,-11sec,($240.00),71,"$4,000.00 "
NQH5,0.25,1,21524,21516,1/29/2025 8:45,1/29/2025 8:46,30sec,($160.00),72,"$3,840.00 "
NQH5,0.25,1,21508,21516,1/29/2025 8:49,1/29/2025 8:48,-67sec,$160.00 ,73,"$4,000.00 "
NQH5,0.25,1,21512,21504,1/29/2025 8:50,1/29/2025 8:49,-63sec,($160.00),74,"$3,840.00 "
NQH5,0.25,1,21528,21548,1/29/2025 8:52,1/29/2025 8:53,1min 14sec,$400.00 ,75,"$4,240.00 "
NQH5,0.25,1,21528,21520,1/29/2025 8:54,1/29/2025 8:54,-17sec,($160.00),76,"$4,080.00 "
NQH5,0.25,1,21528,21524,1/29/2025 8:55,1/29/2025 8:55,22sec,($80.00),77,"$4,000.00 "
NQH5,0.25,1,21536,21532,1/29/2025 8:56,1/29/2025 8:57,42sec,($80.00),78,"$3,920.00 "
NQH5,0.25,1,21532,21528,1/29/2025 8:57,1/29/2025 8:57,6sec,($80.00),79,"$3,840.00 "
NQH5,0.25,1,21528,21516,1/29/2025 9:00,1/29/2025 8:58,-144sec,($240.00),80,"$3,600.00 "
NQH5,0.25,1,21532,21536,1/29/2025 9:05,1/29/2025 9:03,-83sec,$80.00 ,81,"$3,680.00 "
NQH5,0.25,1,21548,21556,1/29/2025 9:06,1/29/2025 9:08,2min 2sec,$160.00 ,82,"$3,840.00 "
NQH5,0.25,1,21516,21536,1/29/2025 9:13,1/29/2025 9:15,1min 54sec,$400.00 ,83,"$4,240.00 "
NQH5,0.25,1,21516,21520,1/29/2025 9:18,1/29/2025 9:16,-84sec,$80.00 ,84,"$4,320.00 "
NQH5,0.25,1,21532,21528,1/29/2025 9:19,1/29/2025 9:20,1min 39sec,($80.00),85,"$4,240.00 "
NQH5,0.25,1,21520,21520,1/29/2025 9:25,1/29/2025 9:25,0sec,$0.00 ,86,"$4,240.00 "
NQH5,0.25,1,21508,21512,1/29/2025 9:30,1/29/2025 9:31,40sec,$80.00 ,87,"$4,320.00 "
NQH5,0.25,1,21508,21512,1/29/2025 9:38,1/29/2025 9:37,-61sec,$80.00 ,88,"$4,400.00 "
NQH5,0.25,1,21476,21468,1/29/2025 9:46,1/29/2025 9:46,12sec,($160.00),89,"$4,240.00 "
NQH5,0.25,1,21500,21504,1/29/2025 9:57,1/29/2025 9:56,-40sec,$80.00 ,90,"$4,320.00 "
NQH5,0.25,1,21520,21516,1/29/2025 10:02,1/29/2025 10:05,2min 33sec,($80.00),91,"$4,240.00 "
NQH5,0.25,1,21492,21480,1/29/2025 10:19,1/29/2025 10:18,-86sec,($240.00),92,"$4,000.00 "
NQH5,0.25,1,21492,21488,1/29/2025 10:22,1/29/2025 10:22,-23sec,($80.00),93,"$3,920.00 "
NQH5,0.25,1,21496,21484,1/29/2025 10:31,1/29/2025 10:30,-64sec,($240.00),94,"$3,680.00 "
NQH5,0.25,1,21512,21500,1/29/2025 10:37,1/29/2025 10:37,54sec,($240.00),95,"$3,440.00 "
NQH5,0.25,1,21480,21484,1/29/2025 10:40,1/29/2025 10:38,-105sec,$80.00 ,96,"$3,520.00 "
NQH5,0.25,1,21496,21500,1/29/2025 10:44,1/29/2025 10:46,1min 28sec,$80.00 ,97,"$3,600.00 "
NQH5,0.25,1,21508,21496,1/29/2025 10:53,1/29/2025 10:55,1min 40sec,($240.00),98,"$3,360.00 "
NQH5,0.25,1,21480,21484,1/29/2025 10:57,1/29/2025 10:56,-97sec,$80.00 ,99,"$3,440.00 "
NQH5,0.25,1,21496,21508,1/29/2025 11:00,1/29/2025 11:02,2min 11sec,$240.00 ,100,"$3,680.00 "
NQH5,0.25,1,21520,21516,1/29/2025 11:08,1/29/2025 11:08,-19sec,($80.00),101,"$3,600.00 "
NQH5,0.25,1,21532,21528,1/29/2025 11:21,1/29/2025 11:23,2min 3sec,($80.00),102,"$3,520.00 "
NQH5,0.25,1,21540,21532,1/29/2025 11:24,1/29/2025 11:26,2min 22sec,($160.00),103,"$3,360.00 "
NQH5,0.25,1,21388,21392,1/29/2025 12:04,1/29/2025 12:03,-38sec,$80.00 ,104,"$3,440.00 "
NQH5,0.25,1,21436,21452,1/29/2025 12:12,1/29/2025 12:11,-55sec,$320.00 ,105,"$3,760.00 "
